Thining Rate,Boundary Type,Thining Part,Moment Direction,Moment,Inner Pressure,Multiplier
20%,Elastic Shakedown,Extra,OP,1.75.E+08,0,0.495599341
20%,Elastic Shakedown,Extra,OP,1.58.E+08,2.207,0.581967229
20%,Elastic Shakedown,Extra,OP,1.40.E+08,4.414,0.646940741
20%,Elastic Shakedown,Extra,OP,1.23.E+08,6.621,0.718878527
20%,Elastic Shakedown,Extra,OP,1.05.E+08,8.828,0.793005148
20%,Elastic Shakedown,Extra,OP,8.75.E+07,11.035,0.85881396
20%,Elastic Shakedown,Extra,OP,7.00.E+07,13.242,0.89749323
20%,Elastic Shakedown,Extra,OP,5.25.E+07,15.449,0.893543635
20%,Elastic Shakedown,Extra,OP,3.50.E+07,17.656,0.861113686
20%,Elastic Shakedown,Extra,OP,1.75.E+07,19.863,0.812290117
20%,Elastic Shakedown,Extra,OP,0.00.E+00,22.07,0.75475782
