Thining Rate,Boundary Type,Thining Part,Moment Direction,Moment,Inner Pressure,Multiplier
35%,Limit Load,Extra,OP,1.58.E+08,2.207,0.583376261
35%,Limit Load,Extra,OP,1.40.E+08,4.414,0.648203005
35%,Limit Load,Extra,OP,1.23.E+08,6.621,0.720203012
35%,Limit Load,Extra,OP,1.05.E+08,8.828,0.795065412
35%,Limit Load,Extra,OP,8.75.E+07,11.035,0.863361553
35%,Limit Load,Extra,OP,7.00.E+07,13.242,0.910389034
35%,Limit Load,Extra,OP,5.25.E+07,15.449,0.921177722
35%,Limit Load,Extra,OP,3.50.E+07,17.656,0.891961951
35%,Limit Load,Extra,OP,1.75.E+07,19.863,0.82997092
35%,Limit Load,Extra,OP,0.00.E+00,22.07,0.754213154
45%,Limit Load,Extra,IPC,1.75.E+08,0,0.354750186
45%,Limit Load,Extra,IPC,1.58.E+08,2.207,0.39418313
45%,Limit Load,Extra,IPC,1.40.E+08,4.414,0.44348432
45%,Limit Load,Extra,IPC,1.23.E+08,6.621,0.506851522
45%,Limit Load,Extra,IPC,1.05.E+08,8.828,0.590611954
45%,Limit Load,Extra,IPC,8.75.E+07,11.035,0.683458291
45%,Limit Load,Extra,IPC,7.00.E+07,13.242,0.716380219
45%,Limit Load,Extra,IPC,5.25.E+07,15.449,0.739012062
45%,Limit Load,Extra,IPC,3.50.E+07,17.656,0.752575712
45%,Limit Load,Extra,IPC,1.75.E+07,19.863,0.75726609
45%,Limit Load,Extra,IPC,0.00.E+00,22.07,0.731393386
45%,Limit Load,Extra,IPO,1.75.E+08,0,0.354750193
45%,Limit Load,Extra,IPO,1.58.E+08,2.207,0.394181384
45%,Limit Load,Extra,IPO,1.40.E+08,4.414,0.44347977
45%,Limit Load,Extra,IPO,1.23.E+08,6.621,0.506872982
45%,Limit Load,Extra,IPO,1.05.E+08,8.828,0.591400026
45%,Limit Load,Extra,IPO,8.75.E+07,11.035,0.709695025
45%,Limit Load,Extra,IPO,7.00.E+07,13.242,0.891509571
45%,Limit Load,Extra,IPO,5.25.E+07,15.449,0.909534666
45%,Limit Load,Extra,IPO,3.50.E+07,17.656,0.871948398
45%,Limit Load,Extra,IPO,1.75.E+07,19.863,0.801305351
45%,Limit Load,Extra,IPO,0.00.E+00,22.07,0.731393368
45%,Limit Load,Extra,OP,1.75.E+08,0,0.488585233
45%,Limit Load,Extra,OP,1.58.E+08,2.207,0.581441535
45%,Limit Load,Extra,OP,1.40.E+08,4.414,0.646383659
45%,Limit Load,Extra,OP,1.23.E+08,6.621,0.718258165
45%,Limit Load,Extra,OP,1.05.E+08,8.828,0.792303236
45%,Limit Load,Extra,OP,8.75.E+07,11.035,0.858023908
45%,Limit Load,Extra,OP,7.00.E+07,13.242,0.896584158
45%,Limit Load,Extra,OP,5.25.E+07,15.449,0.892562504
45%,Limit Load,Extra,OP,3.50.E+07,17.656,0.85868775
45%,Limit Load,Extra,OP,1.75.E+07,19.863,0.79997814
45%,Limit Load,Extra,OP,0.00.E+00,22.07,0.731393392
45%,Limit Load,Extra,IPC,1.75.E+08,0,0.468046214
45%,Limit Load,Extra,IPC,1.58.E+08,2.207,0.508366639
45%,Limit Load,Extra,IPC,1.40.E+08,4.414,0.552143501
45%,Limit Load,Extra,IPC,1.23.E+08,6.621,0.597918221
45%,Limit Load,Extra,IPC,1.05.E+08,8.828,0.64350197
45%,Limit Load,Extra,IPC,8.75.E+07,11.035,0.686442433
45%,Limit Load,Extra,IPC,7.00.E+07,13.242,0.722951216
45%,Limit Load,Extra,IPC,5.25.E+07,15.449,0.748884391
45%,Limit Load,Extra,IPC,3.50.E+07,17.656,0.76189582
45%,Limit Load,Extra,IPC,1.75.E+07,19.863,0.763663355
45%,Limit Load,Extra,IPC,0.00.E+00,22.07,0.731393371
45%,Limit Load,Extra,IPO,1.75.E+08,0,0.468046212
45%,Limit Load,Extra,IPO,1.58.E+08,2.207,0.529097476
45%,Limit Load,Extra,IPO,1.40.E+08,4.414,0.602835014
45%,Limit Load,Extra,IPO,1.23.E+08,6.621,0.689584945
45%,Limit Load,Extra,IPO,1.05.E+08,8.828,0.786927205
45%,Limit Load,Extra,IPO,8.75.E+07,11.035,0.886632411
45%,Limit Load,Extra,IPO,7.00.E+07,13.242,0.969179487
45%,Limit Load,Extra,IPO,5.25.E+07,15.449,1.015311841
45%,Limit Load,Extra,IPO,3.50.E+07,17.656,0.930206575
45%,Limit Load,Extra,IPO,1.75.E+07,19.863,0.826794682
45%,Limit Load,Extra,IPO,0.00.E+00,22.07,0.731393393
45%,Limit Load,Extra,OP,1.75.E+08,0,0.526492495
45%,Limit Load,Extra,OP,1.58.E+08,2.207,0.583171345
45%,Limit Load,Extra,OP,1.40.E+08,4.414,0.64797529
45%,Limit Load,Extra,OP,1.23.E+08,6.621,0.719949162
45%,Limit Load,Extra,OP,1.05.E+08,8.828,0.794784697
45%,Limit Load,Extra,OP,8.75.E+07,11.035,0.863053445
45%,Limit Load,Extra,OP,7.00.E+07,13.242,0.910031328
45%,Limit Load,Extra,OP,5.25.E+07,15.449,0.920702277
45%,Limit Load,Extra,OP,3.50.E+07,17.656,0.887049049
45%,Limit Load,Extra,OP,1.75.E+07,19.863,0.809398919
45%,Limit Load,Extra,OP,0.00.E+00,22.07,0.731393382
55%,Elastic Shakedown,Extra,IPC,1.75.E+08,0,0.354243704
55%,Elastic Shakedown,Extra,IPC,1.58.E+08,2.207,0.393620291
55%,Elastic Shakedown,Extra,IPC,1.40.E+08,4.414,0.442811052
55%,Elastic Shakedown,Extra,IPC,1.23.E+08,6.621,0.506085209
55%,Elastic Shakedown,Extra,IPC,1.05.E+08,8.828,0.589631404
55%,Elastic Shakedown,Extra,IPC,8.75.E+07,11.035,0.681642813
55%,Elastic Shakedown,Extra,IPC,7.00.E+07,13.242,0.715150393
55%,Elastic Shakedown,Extra,IPC,5.25.E+07,15.449,0.738131762
55%,Elastic Shakedown,Extra,IPC,3.50.E+07,17.656,0.74304373
55%,Elastic Shakedown,Extra,IPC,1.75.E+07,19.863,0.690076158
55%,Elastic Shakedown,Extra,IPC,0.00.E+00,22.07,0.627939011
55%,Elastic Shakedown,Extra,IPO,1.75.E+08,0,0.354243716
55%,Elastic Shakedown,Extra,IPO,1.58.E+08,2.207,0.39361864
55%,Elastic Shakedown,Extra,IPO,1.40.E+08,4.414,0.442846674
55%,Elastic Shakedown,Extra,IPO,1.23.E+08,6.621,0.506149366
