Thining Part,Moment Direction,Thining Rate,Boundary Type,Inner Pressure,Moment,Multiplier
Crown,IPC,10%,Elastic Shakedown,19.863,1.75E+07,0.741487131
Crown,IPC,10%,Elastic Shakedown,22.07,0.00E+00,0.738646888
Crown,IPC,10%,Limit Load,0,1.75E+08,0.462143036
Crown,IPC,10%,Limit Load,2.207,1.58E+08,0.50182706
Crown,IPC,10%,Limit Load,4.414,1.40E+08,0.544605682
Crown,IPC,10%,Limit Load,6.621,1.23E+08,0.588942857
Crown,IPC,10%,Limit Load,8.828,1.05E+08,0.63269879
Crown,IPC,10%,Limit Load,11.035,8.75E+07,0.673715276
Crown,IPC,10%,Limit Load,13.242,7.00E+07,0.70852601
Crown,IPC,10%,Limit Load,15.449,5.25E+07,0.732901721
Crown,IPC,10%,Limit Load,17.656,3.50E+07,0.745021981
Crown,IPC,10%,Limit Load,19.863,1.75E+07,0.747517221
Crown,IPC,10%,Limit Load,22.07,0.00E+00,0.738646885
Crown,OP,10%,Elastic Shakedown,0,1.75E+08,0.476625479
Crown,OP,10%,Elastic Shakedown,2.207,1.58E+08,0.529501693
Crown,OP,10%,Elastic Shakedown,4.414,1.40E+08,0.595422627
Crown,OP,10%,Elastic Shakedown,6.621,1.23E+08,0.680483002
Crown,OP,10%,Elastic Shakedown,8.828,1.05E+08,0.77465158
Crown,OP,10%,Elastic Shakedown,11.035,8.75E+07,0.838998757
Crown,OP,10%,Elastic Shakedown,13.242,7.00E+07,0.877287782
Crown,OP,10%,Elastic Shakedown,15.449,5.25E+07,0.875388554
Crown,OP,10%,Elastic Shakedown,17.656,3.50E+07,0.843667236
Crown,OP,10%,Elastic Shakedown,19.863,1.75E+07,0.795300591
Crown,OP,10%,Elastic Shakedown,22.07,0.00E+00,0.738646873
Crown,OP,10%,Limit Load,0,1.75E+08,0.514898671
Crown,OP,10%,Limit Load,2.207,1.58E+08,0.570305141
Crown,OP,10%,Limit Load,4.414,1.40E+08,0.633668447
Crown,OP,10%,Limit Load,6.621,1.23E+08,0.704101941
Crown,OP,10%,Limit Load,8.828,1.05E+08,0.777351954
Crown,OP,10%,Limit Load,11.035,8.75E+07,0.843950717
Crown,OP,10%,Limit Load,13.242,7.00E+07,0.889640004
Crown,OP,10%,Limit Load,15.449,5.25E+07,0.899513808
Crown,OP,10%,Limit Load,17.656,3.50E+07,0.870744961
Crown,OP,10%,Limit Load,19.863,1.75E+07,0.811801368
Crown,OP,10%,Limit Load,22.07,0.00E+00,0.738646874
